user_id,transaction_date,amount
4225,2024-01-30,45.59
2576,2024-08-26,83.37
1342,2024-08-11,66.22
3022,2024-01-31,6.79
1483,2024-01-27,18.99
4355,2024-02-05,81.98
1444,2024-01-09,20.46
3121,2024-04-26,41.89
2833,2024-08-25,36.89
3659,2024-05-20,39.74
1412,2024-05-20,79.58
114,2024-05-04,74.42
3109,2024-05-31,51.23
2644,2024-07-14,72.26
855,2024-06-24,14.9
3083,2024-01-14,13.59
595,2024-01-05,25.1
216,2024-02-23,39.45
2389,2024-01-23,33.44
4233,2024-05-04,99.72
3053,2024-03-12,24.6
4054,2024-06-25,12.04
4031,2024-02-03,87.96
1375,2024-07-22,33.25
3960,2024-07-04,89.86
2618,2024-01-01,18.46
4351,2024-03-26,2.37
1892,2024-08-11,77.95
3176,2024-02-03,75.3
4528,2024-04-17,49.24
232,2024-04-01,90.95
853,2024-02-01,51.55
1606,2024-01-10,34.66
4723,2024-04-29,80.21
3019,2024-02-14,51.79
2575,2024-02-06,82.82
631,2024-07-11,91.78
1123,2024-04-08,55.55
1113,2024-03-20,20.17
2423,2024-06-19,40.54
1097,2024-06-27,37.4
2426,2024-03-22,68.01
3987,2024-04-17,49.24
2368,2024-08-16,12.55
4715,2024-04-29,89.73
4174,2024-04-02,61.9
1134,2024-04-14,58.9
4407,2024-05-17,93.74
3470,2024-06-20,60.12
4619,2024-03-13,80.94
4410,2024-06-10,46.78
4595,2024-04-05,7.99
2098,2024-06-21,98.11
4259,2024-08-28,19.28
4482,2024-02-13,91.75
393,2024-05-23,93.34
888,2024-02-10,51.66
2204,2024-02-04,70.3
4608,2024-08-10,91.4
3887,2024-04-01,93.26
1964,2024-07-24,22.38
2012,2024-02-17,25.01
4636,2024-04-11,59.19
2079,2024-03-27,34.62
3752,2024-05-09,78.74
1303,2024-05-08,75.22
3621,2024-01-31,52.79
4176,2024-03-30,54.33
4446,2024-05-21,84.88
3330,2024-08-19,82.64
2287,2024-05-19,93.86
2648,2024-07-27,75.82
4084,2024-08-17,99.78
525,2024-08-06,12.19
4534,2024-06-11,26.28
3223,2024-06-21,81.19
4382,2024-03-07,19.53
1633,2024-06-18,75.31
3563,2024-02-20,95.11
882,2024-05-20,76.69
2805,2024-03-28,2.17
61,2024-05-10,1.98
2030,2024-03-08,7.73
3305,2024-05-10,64.51
2296,2024-03-10,92.81
1827,2024-01-23,56.49
3619,2024-04-27,93.99
2028,2024-02-12,34.04
1738,2024-02-07,83.9
2599,2024-04-06,26.71
2408,2024-08-07,39.85
4553,2024-05-15,66.5
3175,2024-06-14,98.2
2843,2024-04-05,88.48
3908,2024-01-22,56.52
624,2024-06-06,44.23
2186,2024-06-13,68.44
3997,2024-07-03,25.11
186,2024-01-22,55.5
3074,2024-06-04,66.72
870,2024-03-01,32.07
1897,2024-08-19,60.01
1827,2024-06-12,73.33
3462,2024-02-09,39.03
299,2024-03-23,55.3
3440,2024-05-25,12.04
17,2024-03-17,89.38
3841,2024-07-01,21.55
4779,2024-06-16,98.35
4938,2024-03-30,11.42
4530,2024-05-29,78.56
2757,2024-03-29,28.57
2286,2024-03-20,19.18
1897,2024-07-18,62.97
1264,2024-02-05,92.33
3216,2024-06-24,19.93
3106,2024-03-26,5.4
4552,2024-08-12,54.13
1976,2024-04-14,40.12
454,2024-03-27,42.58
3073,2024-02-08,58.71
3491,2024-01-20,5.92
4481,2024-03-21,23.88
3109,2024-06-13,91.4
3477,2024-07-12,39.69
504,2024-01-29,41.32
2562,2024-06-16,69.98
1403,2024-06-13,74.29
4084,2024-03-26,2.38
3152,2024-03-06,47.58
4709,2024-01-10,56.41
2772,2024-03-06,57.68
4999,2024-02-09,23.89
2601,2024-07-10,52.24
3014,2024-05-15,45.7
1269,2024-07-04,3.92
2702,2024-05-10,56.19
2603,2024-02-20,44.23
417,2024-04-05,26.59
4259,2024-06-13,39.26
738,2024-07-22,28.43
713,2024-06-03,33.44
1370,2024-02-02,1.33
1278,2024-02-02,74.67
3755,2024-08-26,72.64
1355,2024-06-25,66.67
402,2024-07-11,36.63
4987,2024-04-13,52.77
631,2024-03-20,47.89
4785,2024-04-09,19.66
1140,2024-08-07,32.68
3527,2024-02-27,82.04
1427,2024-03-06,6.83
4535,2024-03-13,84.87
2417,2024-01-29,73.35
249,2024-01-19,65.71
310,2024-06-17,70.79
2513,2024-05-18,32.43
3557,2024-03-07,91.33
181,2024-07-02,28.33
3520,2024-03-21,64.05
4486,2024-06-25,66.44
3872,2024-06-19,67.74
2574,2024-07-19,87.74
4180,2024-08-28,24.5
40,2024-03-28,96.37
4419,2024-01-18,73.83
1895,2024-06-20,47.13
257,2024-08-04,11.86
456,2024-08-12,95.39
489,2024-05-29,12.66
1762,2024-02-20,61.8
4510,2024-08-15,19.2
3975,2024-04-21,63.03
1177,2024-07-11,22.98
1779,2024-08-18,47.87
4269,2024-07-20,47.67
255,2024-02-25,66.27
3692,2024-01-01,49.29
4340,2024-08-13,98.73
1353,2024-02-28,42.24
1852,2024-03-31,99.45
3998,2024-08-29,87.12
3596,2024-05-09,30.19
2152,2024-06-24,83.11
3133,2024-05-20,1.79
2473,2024-03-07,41.7
1563,2024-02-27,82.08
2803,2024-06-01,49.36
3726,2024-03-27,74.5
4845,2024-04-02,58.12
3442,2024-06-21,4.46
1062,2024-06-28,54.27
3366,2024-05-14,48.88
2425,2024-05-13,74.12
700,2024-02-02,12.51
3356,2024-02-28,34.49
2219,2024-07-08,2.33
3824,2024-03-29,98.66
4214,2024-05-27,17.09
180,2024-05-19,12.88
1199,2024-01-29,54.83
206,2024-04-06,88.33
215,2024-08-12,7.66
3063,2024-03-29,38.24
4855,2024-08-11,92.68
2087,2024-03-30,24.56
4597,2024-08-12,79.14
2335,2024-08-28,58.62
4187,2024-01-10,14.98
81,2024-01-07,87.43
1807,2024-05-03,85.63
3754,2024-09-02,62.39
306,2024-07-25,57.86
4995,2024-07-18,21.97
926,2024-06-27,36.21
4943,2024-02-17,89.76
4435,2024-08-15,88.43
1869,2024-01-02,23.15
3703,2024-02-29,81.31
1189,2024-05-25,12.75
1604,2024-02-24,54.34
1670,2024-06-26,26.26
953,2024-06-18,38.55
2617,2024-05-20,93.97
2412,2024-05-28,53.76
1220,2024-07-02,44.48
150,2024-03-18,44.24
397,2024-01-27,50.63
4839,2024-03-04,95.78
2112,2024-02-02,1.15
3952,2024-08-16,63.99
4307,2024-02-13,25.04
119,2024-06-25,73.22
1171,2024-05-06,33.65
3085,2024-05-01,55.76
212,2024-06-25,35.07
3341,2024-07-28,60.13
4333,2024-08-10,67.15
3638,2024-08-13,57.05
1596,2024-03-17,34.69
299,2024-03-19,73.66
2865,2024-01-14,6.12
84,2024-06-14,49.56
725,2024-05-25,18.73
570,2024-06-05,52.37
4261,2024-07-28,65.89
4404,2024-01-25,96.25
2994,2024-07-25,66.4
1411,2024-04-26,45.21
2233,2024-05-01,23.93
1160,2024-04-30,38.72
1183,2024-02-06,98.34
3003,2024-01-22,3.12
2115,2024-07-29,16.01
2243,2024-06-06,80.23
2777,2024-04-09,80.96
4546,2024-06-09,76.75
2104,2024-04-08,2.28
4737,2024-04-03,65.03
3033,2024-04-30,66.55
3080,2024-02-16,3.42
3618,2024-06-14,74.93
3995,2024-01-02,80.52
2470,2024-06-20,26.12
2239,2024-04-22,63.12
2718,2024-08-29,69.06
3754,2024-05-22,14.42
4094,2024-05-10,94.59
814,2024-04-22,41.52
1026,2024-04-13,56.28
4109,2024-05-28,45.24
2820,2024-01-26,91.98
3345,2024-05-11,83.81
1393,2024-06-08,83.12
2179,2024-01-31,12.15
1556,2024-02-07,29.12
3648,2024-05-21,14.15
4542,2024-04-30,69.19
2753,2024-04-21,77.05
2901,2024-08-20,53.45
747,2024-08-15,97.84
3309,2024-04-05,8.41
4610,2024-08-04,29.61
488,2024-01-20,21.89
3777,2024-07-08,57.84
4859,2024-06-11,66.29
3694,2024-02-08,49.41
1530,2024-01-06,74.35
4110,2024-02-12,7.39
707,2024-07-24,30.05
1355,2024-06-22,62.2
3556,2024-05-02,63.88
1157,2024-07-24,27.85
554,2024-04-06,9.92
2878,2024-05-18,25.21
1068,2024-06-21,84.57
457,2024-03-03,94.26
1949,2024-01-08,9.91
3066,2024-02-10,49.86
3305,2024-07-03,78.23
1727,2024-04-17,45.91
2674,2024-02-13,35.03
1340,2024-05-26,78.48
1629,2024-06-12,75.21
4049,2024-08-11,79.69
859,2024-09-02,20.0
3810,2024-02-10,36.73
966,2024-07-14,77.97
3658,2024-02-13,83.57
3663,2024-05-14,20.61
4336,2024-04-01,41.54
4173,2024-05-30,27.91
4472,2024-02-22,5.93
2044,2024-06-16,77.68
4878,2024-08-28,48.76
4165,2024-01-13,80.6
558,2024-07-07,9.48
3331,2024-06-16,9.81
767,2024-04-10,46.01
3869,2024-07-11,75.84
3116,2024-05-17,33.83
1120,2024-02-14,13.51
2815,2024-01-23,51.66
63,2024-05-28,99.65
2104,2024-04-12,46.78
4970,2024-01-13,81.31
649,2024-08-10,6.81
4474,2024-08-09,13.0
4338,2024-04-24,87.2
3591,2024-02-22,27.78
2086,2024-01-05,86.5
4949,2024-06-01,88.99
2897,2024-07-22,64.37
1544,2024-03-25,51.68
2269,2024-02-20,21.94
2100,2024-06-24,50.51
2181,2024-04-04,94.63
3818,2024-03-17,70.86
2273,2024-07-04,15.15
2054,2024-04-09,18.45
1790,2024-03-26,99.25
2975,2024-08-31,85.01
352,2024-02-17,27.24
4698,2024-07-14,43.63
2303,2024-02-07,38.03
3785,2024-04-22,46.78
3717,2024-05-14,22.44
798,2024-01-25,53.8
573,2024-06-12,82.27
3574,2024-07-06,52.07
289,2024-05-14,51.95
3313,2024-07-26,47.55
3710,2024-01-22,65.06
485,2024-03-09,79.38
2538,2024-08-18,77.01
416,2024-03-11,97.24
4987,2024-03-29,51.2
1371,2024-08-26,77.02
187,2024-01-01,7.71
673,2024-06-17,67.41
4543,2024-04-09,44.89
2799,2024-05-01,61.48
641,2024-03-28,57.25
3666,2024-03-01,46.74
606,2024-07-10,48.9
812,2024-06-24,46.24
3285,2024-07-03,71.68
3723,2024-03-25,25.54
878,2024-03-13,32.68
215,2024-07-29,1.3
2702,2024-05-16,7.77
2404,2024-07-08,29.5
3865,2024-07-29,28.05
4490,2024-03-21,20.69
4815,2024-06-08,37.36
41,2024-04-14,26.15
4301,2024-08-20,34.85
2658,2024-05-16,82.04
2561,2024-07-25,1.11
482,2024-06-21,36.55
1941,2024-02-27,25.4
2803,2024-04-09,14.93
3166,2024-03-10,86.67
3587,2024-08-17,84.06
728,2024-06-07,55.55
3624,2024-08-08,17.0
4478,2024-06-12,72.52
2250,2024-07-04,14.04
2812,2024-03-04,48.58
4068,2024-03-09,67.75
2232,2024-01-06,71.41
525,2024-04-27,46.61
1198,2024-06-11,20.12
4131,2024-03-12,19.72
1417,2024-07-29,5.69
1765,2024-04-05,49.52
1583,2024-08-12,55.03
2830,2024-02-24,20.66
3308,2024-02-25,19.55
2031,2024-03-15,14.21
1787,2024-08-05,81.2
393,2024-07-23,56.96
4308,2024-08-18,36.31
1225,2024-03-04,57.96
1352,2024-03-27,12.65
678,2024-08-14,72.11
2797,2024-06-20,72.35
4427,2024-04-18,77.55
4873,2024-05-07,52.99
3073,2024-01-21,59.81
4701,2024-04-27,97.34
4347,2024-03-08,4.45
1678,2024-05-19,80.41
3720,2024-05-12,54.99
2002,2024-01-13,60.03
2568,2024-02-23,87.15
