user_id,activity_date,activity_type
2566,2024-03-16,login
2905,2024-02-07,login
342,2024-05-18,review
1705,2024-04-21,login
1644,2024-01-31,review
1875,2024-02-19,login
1778,2024-08-08,review
317,2024-02-05,login
1603,2024-05-28,subscription
1617,2024-07-18,review
2495,2024-03-01,review
66,2024-03-15,login
697,2024-06-16,review
1528,2024-06-25,login
615,2024-01-11,login
460,2024-02-24,review
123,2024-08-03,subscription
2743,2024-07-02,subscription
2651,2024-05-28,subscription
834,2024-02-12,login
1252,2024-07-05,login
1701,2024-07-23,subscription
1216,2024-08-18,login
1891,2024-04-10,login
1717,2024-01-12,subscription
2738,2024-04-08,subscription
717,2024-06-25,subscription
1289,2024-08-19,login
2003,2024-04-01,review
2945,2024-04-03,review
2811,2024-05-29,login
1749,2024-07-29,review
1291,2024-06-17,review
850,2024-04-09,review
1467,2024-03-26,review
729,2024-05-13,review
2151,2024-06-05,review
1439,2024-07-31,login
2078,2024-04-05,review
1290,2024-04-11,login
2735,2024-08-15,subscription
2537,2024-07-30,review
1956,2024-08-22,review
2145,2024-02-18,login
203,2024-07-22,login
822,2024-04-22,subscription
700,2024-08-21,review
2232,2024-08-09,subscription
1367,2024-01-29,subscription
1074,2024-08-15,login
2760,2024-04-18,login
1567,2024-03-11,review
600,2024-01-03,review
2404,2024-07-26,login
915,2024-05-06,subscription
2377,2024-05-24,login
2001,2024-02-23,subscription
504,2024-02-06,subscription
1980,2024-02-17,subscription
1602,2024-08-22,login
2943,2024-02-22,subscription
1777,2024-03-10,review
711,2024-03-13,review
1528,2024-07-09,review
1526,2024-04-20,subscription
1104,2024-04-24,subscription
1991,2024-05-06,review
600,2024-08-29,subscription
2883,2024-06-04,subscription
1839,2024-01-27,review
2592,2024-06-16,review
820,2024-07-09,review
1600,2024-02-17,subscription
2490,2024-05-12,subscription
1606,2024-02-08,review
537,2024-05-05,login
173,2024-02-29,login
87,2024-03-14,subscription
2574,2024-08-19,review
1591,2024-04-14,subscription
666,2024-08-19,review
2939,2024-07-16,review
65,2024-02-20,review
2850,2024-08-30,subscription
2809,2024-02-06,review
2642,2024-04-03,login
546,2024-05-11,login
975,2024-08-12,login
238,2024-07-16,review
1674,2024-04-22,review
773,2024-06-30,subscription
2304,2024-07-14,login
1890,2024-04-28,review
2592,2024-05-24,subscription
816,2024-02-02,subscription
1090,2024-08-31,subscription
2547,2024-06-28,review
2835,2024-03-19,subscription
1078,2024-06-26,subscription
2667,2024-08-12,login
2484,2024-03-10,login
1179,2024-07-27,subscription
1219,2024-08-19,review
215,2024-05-22,review
946,2024-05-11,subscription
2948,2024-03-16,review
837,2024-08-10,review
2904,2024-03-12,login
1935,2024-05-22,subscription
